scale,minNeighbors,matrix,recall,precision,F1
1.01,2,"{'TP': 88, 'FP': 27, 'FN': 202}",0.30344827586206896,0.7652173913043478,0.43456790123456795
1.01,4,"{'TP': 71, 'FP': 8, 'FN': 219}",0.24482758620689654,0.8987341772151899,0.3848238482384823
1.01,6,"{'TP': 58, 'FP': 2, 'FN': 232}",0.2,0.9666666666666667,0.33142857142857146
1.01,8,"{'TP': 47, 'FP': 2, 'FN': 243}",0.16206896551724137,0.9591836734693877,0.27728613569321536
1.01,10,"{'TP': 43, 'FP': 2, 'FN': 247}",0.1482758620689655,0.9555555555555556,0.25671641791044775
1.01,12,"{'TP': 39, 'FP': 2, 'FN': 251}",0.13448275862068965,0.9512195121951219,0.23564954682779457
1.02,2,"{'TP': 59, 'FP': 9, 'FN': 231}",0.20344827586206896,0.8676470588235294,0.32960893854748596
1.02,4,"{'TP': 45, 'FP': 3, 'FN': 245}",0.15517241379310345,0.9375,0.2662721893491124
1.02,6,"{'TP': 31, 'FP': 1, 'FN': 259}",0.10689655172413794,0.96875,0.19254658385093168
1.02,8,"{'TP': 24, 'FP': 0, 'FN': 266}",0.08275862068965517,1.0,0.15286624203821655
1.02,10,"{'TP': 21, 'FP': 0, 'FN': 269}",0.07241379310344828,1.0,0.13504823151125403
1.02,12,"{'TP': 17, 'FP': 0, 'FN': 273}",0.05862068965517241,1.0,0.11074918566775244
1.03,2,"{'TP': 53, 'FP': 4, 'FN': 237}",0.18275862068965518,0.9298245614035088,0.3054755043227666
1.03,4,"{'TP': 34, 'FP': 2, 'FN': 256}",0.11724137931034483,0.9444444444444444,0.2085889570552147
1.03,6,"{'TP': 25, 'FP': 2, 'FN': 265}",0.08620689655172414,0.9259259259259259,0.1577287066246057
1.03,8,"{'TP': 18, 'FP': 2, 'FN': 272}",0.06206896551724138,0.9,0.11612903225806452
1.03,10,"{'TP': 10, 'FP': 1, 'FN': 280}",0.034482758620689655,0.9090909090909091,0.0664451827242525
1.03,12,"{'TP': 8, 'FP': 0, 'FN': 282}",0.027586206896551724,1.0,0.053691275167785234
1.04,2,"{'TP': 46, 'FP': 2, 'FN': 244}",0.15862068965517243,0.9583333333333334,0.27218934911242604
1.04,4,"{'TP': 26, 'FP': 1, 'FN': 264}",0.0896551724137931,0.9629629629629629,0.16403785488958988
1.04,6,"{'TP': 19, 'FP': 0, 'FN': 271}",0.06551724137931035,1.0,0.12297734627831716
1.04,8,"{'TP': 12, 'FP': 0, 'FN': 278}",0.041379310344827586,1.0,0.07947019867549668
1.04,10,"{'TP': 9, 'FP': 0, 'FN': 281}",0.03103448275862069,1.0,0.06020066889632107
1.04,12,"{'TP': 5, 'FP': 0, 'FN': 285}",0.017241379310344827,1.0,0.03389830508474576
1.05,2,"{'TP': 35, 'FP': 2, 'FN': 255}",0.1206896551724138,0.9459459459459459,0.21406727828746178
1.05,4,"{'TP': 17, 'FP': 0, 'FN': 273}",0.05862068965517241,1.0,0.11074918566775244
1.05,6,"{'TP': 11, 'FP': 0, 'FN': 279}",0.03793103448275862,1.0,0.07308970099667775
1.05,8,"{'TP': 5, 'FP': 0, 'FN': 285}",0.017241379310344827,1.0,0.03389830508474576
1.05,10,"{'TP': 4, 'FP': 0, 'FN': 286}",0.013793103448275862,1.0,0.027210884353741496
1.05,12,"{'TP': 1, 'FP': 0, 'FN': 289}",0.0034482758620689655,1.0,0.006872852233676977
1.06,2,"{'TP': 34, 'FP': 1, 'FN': 256}",0.11724137931034483,0.9714285714285714,0.20923076923076925
1.06,4,"{'TP': 22, 'FP': 0, 'FN': 268}",0.07586206896551724,1.0,0.14102564102564102
1.06,6,"{'TP': 10, 'FP': 0, 'FN': 280}",0.034482758620689655,1.0,0.06666666666666667
1.06,8,"{'TP': 3, 'FP': 0, 'FN': 287}",0.010344827586206896,1.0,0.020477815699658706
1.06,10,"{'TP': 1, 'FP': 0, 'FN': 289}",0.0034482758620689655,1.0,0.006872852233676977
1.06,12,"{'TP': 0, 'FP': 0, 'FN': 290}",0.0,0,0
1.07,2,"{'TP': 27, 'FP': 2, 'FN': 263}",0.09310344827586207,0.9310344827586207,0.16927899686520378
1.07,4,"{'TP': 13, 'FP': 0, 'FN': 277}",0.04482758620689655,1.0,0.0858085808580858
1.07,6,"{'TP': 5, 'FP': 0, 'FN': 285}",0.017241379310344827,1.0,0.03389830508474576
1.07,8,"{'TP': 1, 'FP': 0, 'FN': 289}",0.0034482758620689655,1.0,0.006872852233676977
1.07,10,"{'TP': 1, 'FP': 0, 'FN': 289}",0.0034482758620689655,1.0,0.006872852233676977
1.07,12,"{'TP': 0, 'FP': 0, 'FN': 290}",0.0,0,0
1.08,2,"{'TP': 22, 'FP': 0, 'FN': 268}",0.07586206896551724,1.0,0.14102564102564102
1.08,4,"{'TP': 9, 'FP': 0, 'FN': 281}",0.03103448275862069,1.0,0.06020066889632107
1.08,6,"{'TP': 5, 'FP': 0, 'FN': 285}",0.017241379310344827,1.0,0.03389830508474576
1.08,8,"{'TP': 1, 'FP': 0, 'FN': 289}",0.0034482758620689655,1.0,0.006872852233676977
1.08,10,"{'TP': 0, 'FP': 0, 'FN': 290}",0.0,0,0
1.08,12,"{'TP': 0, 'FP': 0, 'FN': 290}",0.0,0,0
1.1,2,"{'TP': 16, 'FP': 1, 'FN': 274}",0.05517241379310345,0.9411764705882353,0.10423452768729642
1.1,4,"{'TP': 9, 'FP': 0, 'FN': 281}",0.03103448275862069,1.0,0.06020066889632107
1.1,6,"{'TP': 4, 'FP': 0, 'FN': 286}",0.013793103448275862,1.0,0.027210884353741496
1.1,8,"{'TP': 1, 'FP': 0, 'FN': 289}",0.0034482758620689655,1.0,0.006872852233676977
1.1,10,"{'TP': 0, 'FP': 0, 'FN': 290}",0.0,0,0
1.1,12,"{'TP': 0, 'FP': 0, 'FN': 290}",0.0,0,0
